ar,country_ar,en,country_en
 برج بونعامة, الجزائر, Bordj Bounaama,Algeria
 برج حموﺪ, لبنان, Burj Hammoud,Lebanon
 برج زمورة, الجزائر, Bordj Zemmoura,Algeria
 برج صباط, الجزائر, Bordj Sabat,Algeria
 برج عريمة, الجزائر, Bordj Arima - Béni Ouarsous,Algeria
 برج منايل, الجزائر, Bordj Menaiel,Algeria
 برج ميرة, الجزائر, Bordj Mira,Algeria
 برجا, لبنان, Barja,Lebanon
 برحال, الجزائر, Berrahal,Algeria
 برداي, تشاد, Bardai,Chad
 بردسكن, ايران, Bardaskan,Iran 
 بردعة, أذربيجان, Barda,Azerbaijan
 بردو, الجزائر, Berdou,Algeria
 برزك, ايران, Barzok,Iran 
 برزنجة, العراق, Barzinja,Iraq
 برستل, المملكة المتحدة, Bristol,UK
 برش, السودان, Burush,Sudan
 برشلونة, أسبانيا,Barcelona,Spain
 برشيد, المغرب, Berrechid,Morocco
 برطلة, العراق, Bartella,Iraq
 برعو, الصومال, Burao,Somalia
 برغال, الصومال, Bargal,Somalia
 برغاما, تركيا, Bergama,Turkey
 برغش, أسبانيا,Burgos,Spain
 برغش غلادباخ, ألمانيا,Bergisch Gladbach,Germany
 برغن, النرويج,Bergen,Norway
 برغنج, نيبال, Birgunj,Nepal
 برقن, ليبيا, Barqin,Libya
 بركاء, عمان, Barka,Oman
 بركان, المغرب, Berkane,Morocco
 بركة سايرة, السودان, Birkat Saira,Sudan
 برلا, الهند,Burla,India
 برلين, ألمانيا, Berlin,Germany
 برما, مصر, Birma,Egypt
 برمانا, لبنان, Broumana,Lebanon
 برمنغهام، ألاباما, الولايات المتحدة, Birmingham,United States of America
 برمنهام, المملكة المتحدة, Birmingham,UK
 برمودا, برمودا, Bermuda,Bermuda
 برن, الصومال, Badhan,Somalia
 برن, سويسرا, Bern,Switzerland
 برنا, ألمانيا,Pirna,Germany
 برنالا, الهند, Barnala,India
 برنالہ, باكستان, Barnala,Pakistan
 برنو, جمهورية التشيك,Brno,Czechia
 برهوم, الجزائر, Berhoum,Algeria
 بروانة, العراق, Barwana,Iraq
 بروت, الهند,Baraut,India
 بروتاني, فرنسا, Brittany,France
 بروتفينو, روسيا, Protvino,Russian Federation
 بروج, بلجيكا, Bruges,Belgium
 بروكسل, بلجيكا, Brussels,Belgium
 بروم, اليمن, Burum,Yemen
 بروناي, بروناي, Brunei,Brunei Darussalam
 برونشوايك, ألمانيا, Brunswick,Germany
 برونيتسي, روسيا, Bronnitsy,Russian Federation
 بريان, الجزائر, Berriane,Algeria
 بريانسك, روسيا, Bryansk,Russian Federation
 بريانكا, أوكرانيا, Brianka,Ukraine
 بريتوريا, جنوب أفريقيا, Pretoria,South Africa
 بريدة, السعودية, Buraydah,Saudi Arabia
 بريدج تاون, بربادوس, Bridgetown,Barbados
 بريزبان, أستراليا,Brisbane,Australia
 بريزرن,كوسوفو, Prizren,Kosovo
 بريست, فرنسا,Brest,France
 بريشتينا,كوسوفو, Pristina,Kosovo
 بريشوف, سلوفاكيا, Prešov,Slovakia
 بريكة, الجزائر, Barika,Algeria
 بريكوله, ليتوانيا,Priekulė,Lithuania
 بريلي, الهند,Bareilly,India
 بريمرهافن, ألمانيا,Bremerhaven,Germany
 بريمن, ألمانيا, Bremen,Germany
 بريمنتس, ألمانيا,Premnitz,Germany
 بريناي, ليتوانيا,Prienai,Lithuania
 برينة, موريتانيا, Bareina,Mauritania
 بزاعا, سوريا, Bza`a,Syrian Arab Republic
 بسان, كوريا الجنوبية, Busan,Korea 
 بسرور, باكستان, Pasrur,Pakistan
 بسكرة, الجزائر, Biskra,Algeria
 بسكو, الفيلبين, Basco,Philippines
 بسكوف, روسيا, Pskov,Russian Federation
 بسند, السودان, Basunda,Sudan
 بسني, باكستان, Pasni,Pakistan
 بسيتين, البحرين, Busaiteen,Bahrain
 بسيلا, بنين,Bassila,Benin
 بسيون, مصر,Basioun,Egypt
 بشار, الجزائر, Bechar,Algeria
 بشام, باكستان, Besham,Pakistan
 بشامون, لبنان, Bechamoun,Lebanon
 بشر, ليبيا, Qariat Bashir,Libya
 بشري, لبنان, Bsharri,Lebanon
 بشلول, الجزائر, Bechloul,Algeria
 بصاليم, لبنان, Bsalim,Lebanon
 بصر الحرير, سوريا, Busra al Hariri,Syrian Arab Republic
 بصرة, العراق, Basra,Iraq
 بصرى الشام, سوريا, Bosra,Syrian Arab Republic
 بصير بور, باكستان, Basirpur,Pakistan
 بطة, ليبيا, Battah,Libya
 بطليوس, أسبانيا,Badajoz,Spain
 بطمان, تركيا,Batman,Turkey
 بطيوة, الجزائر, Bethioua,Algeria
 بعبدا, لبنان, Baabda,Lebanon
 بعشيقة, العراق, Bashiqa,Iraq
 بعقوبة, العراق, Baqubah,Iraq
 بعلبك, لبنان, Baalbek,Lebanon
 بعلول, لبنان, Baaloul,Lebanon
 بغداد, العراق, Baghdad,Iraq
 بغلان, أفغانستان, Baghlan,Afghanistan
 بغلية, الجزائر, Baghlia,Algeria
 بفاريا, ألمانيا, Bavaria,Germany
 بفافنهوفن أن در إلم, ألمانيا,Pfaffenhofen an der Ilm,Germany
 بفرلي, المملكة المتحدة,Beverley,UK
 بق اقبلي, الصومال, Buq Aqable,Somalia
 بقعاء, السعودية, Baqa,Saudi Arabia
 بك أوغلي, تركيا,Beyoğlu,Turkey
 بك محمد, أفغانستان, Big Mohammad,Afghanistan
 بكرامي, أفغانستان, Bagrami,Afghanistan
 بكرجو, العراق, Bakrajo,Iraq
 بكركوي, تركيا,Bakırköy,Turkey
 بكوش لخضر, الجزائر, Bekouche Lakhdar,Algeria
 بكين, الصين, Beijing,China
 بل خمري, أفغانستان, Puli Khumri,Afghanistan
 بل متك, أفغانستان, Puli-Matak,Afghanistan
 بلا, مالي,Bla,Mali
 بلاد بني بو علي, عمان, Balad Bani Bu Ali,Oman
 بلاط, مصر, Balat,Egypt
 بلافسك, روسيا, Plavsk,Russian Federation
 بلانتاير, ملاوي,Blantyre,Malawi
 بلانغ, ألمانيا,Planegg,Germany
 بلانقوا, الكاميرون,Blangoua,Cameroon
 بلاوبويرن, ألمانيا,Blaubeuren,Germany
 بلاوين, ألمانيا,Plauen,Germany
 بلبالا, جيبوتي,Balbala بلبالا,Djibouti
 بلباو, أسبانيا,Bilbao,Spain
 بلبل, سوريا, Bulbul,Syrian Arab Republic
 بلبيس, مصر, Bilbeis,Egypt
 بلتن, تشاد, Biltine,Chad
 بلجرشي, السعودية, Baljurashi,Saudi Arabia
 بلجيكا, بلجيكا, Belgium,Belgium
 بلحاف, اليمن, Balhaf,Yemen
 بلخ, أفغانستان, Balkh,Afghanistan
 بلخير, الجزائر, Belkheir,Algeria
 بلد, العراق, Balad,Iraq
 بلد الوليد, أسبانيا,Valladolid,Spain
 بلد وين, الصومال, Beledweyne,Somalia
 بلدة أعوان الجديدة, باكستان, New Awan Town,Pakistan
 بلدة اشميخ, ليبيا, Eshmekh Town,Libya
 بلدة الهزارة, باكستان, Hazara Town,Pakistan
 بلدة عمر, الجزائر, Blidet Amor,Algeria
 بلدروز, العراق, Balad Ruz,Iraq
 بلرم, ايطاليا, Palermo,Italy
 بلري, الهند, Ballari,India
 بلزن, جمهورية التشيك,Plzeň,Czechia
 بلعائبة, الجزائر, Belaiba,Algeria
 بلعد, الصومال, Balcad,Somalia
 بلغاريا, بلغاريا, Bulgaria,Bulgaria
 بلغراد, صربيا, Belgrade,Serbia
 بلغربان, موريتانيا, Belghirbane,Mauritania
 بلفاست, المملكة المتحدة, Belfast,UK
 بلفاع, المغرب, Belfaa,Morocco
 بلفور, فرنسا,Belfort,France
 بلكاد, الهند,Palakkad,India
 بلمس, البرازيل, Palmas,Brazil
 بلموبان, بليز, Belmopan,Belize
 بلن, تركيا,Belen,Turkey
 بلندري, باكستان, Palandri,Pakistan
 بلوئرمل, فرنسا,Ploërmel,France
 بلواما, الهند,Pulwama,India
 بلود, الهند, Balod,India
 بلوزداد, الجزائر, Belouizdad,Algeria
 بلوس, السودان, Balos,Sudan
 بلوشستان, باكستان, Balochistan,Pakistan
 بلوفديف, بلغاريا, Plovdiv,Bulgaria
 بلول, الجزائر, Balloul,Algeria
 بلولادي, الجزائر, Bellouladi,Algeria
 بلومفونتين, جنوب أفريقيا, Bloemfontein,South Africa
 بلوميناو, البرازيل,Blumenau,Brazil
 بلونة, لبنان, Ballouneh,Lebanon
 بليدا, باكستان, Buleda,Pakistan
 بليز, بليز, Belize,Belize
 بليم, البرازيل, Belém,Brazil
 بليموث, المملكة المتحدة, Plymouth,UK
 بم, ايران, Bam,Iran 
 بمبور, الهند,Pampore,India
 بن أحمد, المغرب, Ben Ahmed,Morocco
 بن الطيب, المغرب, Ben Taieb,Morocco
 بن باديس, الجزائر, Ben Badis,Algeria
 بن جواد, ليبيا, Ben Jawwad,Libya
 بن سرور, الجزائر, Ben Srour,Algeria
 بن سليمان, المغرب, Benslimane,Morocco
 بن عبد المالك رمضان, الجزائر,Ben Abdelmalek Ramdane,Algeria
 بن عروس, تونس, Ben Arous,Tunisia
 بن عزوز, الجزائر, Ben Azzouz,Algeria
 بن عكنون, الجزائر, Ben Aknoun,Algeria
 بن فريحة, الجزائر, Ben Freha,Algeria
 بن قردان, تونس, Ben Gardane,Tunisia
 بن مهيدي, الجزائر, Ben Mehidi,Algeria
 بن ناصر, الجزائر, Benaceur,Algeria
 بنادر, الصومال, Banaadir,Somalia
 بناكاثون, أسبانيا,Benacazón,Spain
 بنبلونة, أسبانيا, Pamplona,Spain
 بنت بية, ليبيا, Bint Bayyah,Libya
 بنت جبيل, لبنان, Bint Jubayl,Lebanon
 بنجكور, باكستان, Panjgur,Pakistan
 بندر, تشاد, Binder,Chad
 بندر سري بكاوان, بروناي, Bandar Seri Begawan,Brunei Darussalam
 بندر عباس, ايران, Bandar Abbas,Iran 
 بندر غناوه, ايران, Bandar Ganaveh,Iran 
 بندي باتيان, باكستان, Pindi Bhattian,Pakistan
 بنزرت, تونس, Bizerte,Tunisia
 بنسلاوة, العراق, Bnaslawa,Iraq
 بنش, سوريا, Binnish,Syrian Arab Republic
 بنشي, الصين, Benxi,China
 بنشي, الصين, Benxi Manchu Autonomous County,China
 بنغازي, ليبيا, Benghazi,Libya
 بنغالور, الهند, Bengaluru,India
 بنغبو, الصين, Bengbu,China
 بنغلاديش, بنجلاديش, Bangladesh,Bangladesh
 بنغهو, الصين, Pinghu,China
 بنغو, موريتانيا, Bangou,Mauritania
 بنما, بنما, Panama,Panama
 بنها, مصر, Banha,Egypt
 بنو, باكستان, Bannu,Pakistan
 بنوم بنه, كمبوديا, Phnom Penh,Cambodia
 بنى حواء, الجزائر, Beni Haoua,Algeria
 بنى مزار, مصر, Beni Mazar,Egypt
 بنى يعقوب, الجزائر, Beni Yagoub,Algeria
 بني انصار, المغرب, Beni Ansar / Aït Nsar,Morocco
 بني بكر, اليمن, Bani Bakr,Yemen
 بني بوعياش, المغرب, Bni Bouayach,Morocco
 بني تادجيت, المغرب, Bni Tadjite,Morocco
 بني تامو, الجزائر, Beni Tamou,Algeria
 بني حسن, السعودية,بني حسن,Saudi Arabia
 بني حسن الشروق, مصر, Bani Hasan El-Shorouk,Egypt
 بني خيار, تونس, Béni Khiar,Tunisia
 بني درار, المغرب, Bni Drar,Morocco
 بني درقن, الجزائر, Beni Dergoun,Algeria
 بني زمنزر, الجزائر, Ait Zmenzer,Algeria
 بني زنتيس, الجزائر, Beni Zentis,Algeria
 بني سالم, أسبانيا,Binissalem,Spain
 بني سليمان, الجزائر, Beni Slimane,Algeria
 بني سهيلا, فلسطين, Bani Suheila, Palestinian
 بني سويف, مصر, Beni Suef,Egypt
 بني سويف الجديدة, مصر, New Beni Suef,Egypt
 بني شبانة, الجزائر, Beni Chebana,Algeria
 بني صاف, الجزائر,Béni-Saf,Algeria
 بني عباس, الجزائر, Bani Abbas,Algeria
 بني عزيز, الجزائر,Beni Aziz,Algeria
 بني عمران, الجزائر, Beni Amrane,Algeria
 بني كسيلة, الجزائر,Beni Ksila,Algeria
 بني محلي, الجزائر, Beni Mouhli,Algeria
 بني مراد, الجزائر, Beni Mered,Algeria
 بني مسوس, الجزائر, Beni Messous,Algeria
 بني ملال, المغرب, Beni Mellal,Morocco
 بني نعيم, فلسطين, Bani Naim, Palestinian
 بني ورثيلان, الجزائر, Beni Ouartilane,Algeria
 بني ولبان, الجزائر, Beni Oulbane,Algeria
 بني وليد, ليبيا, Bani Walid,Libya
 بني ونيف, الجزائر, Beni Ounif,Algeria
 بني يخلف, المغرب, Bni Yakhlef,Morocco
 بنين, بنين, Benin,Benin
 بنينا, ليبيا, Benina,Libya
 بهاكتابور, نيبال, Bhaktapur,Nepal
 بهاليا, باكستان, Phalia,Pakistan
 بهاوالبور, باكستان, Bahawalpur,Pakistan
 بهاولنكر, باكستان, Bahawalnagar,Pakistan
 بهاونقر, الهند,Bhavnagar,India
 بهرز, العراق, Bahriz,Iraq
 بهكر, باكستان, Bhakkar,Pakistan
 بهلاء, عمان, Bahlā,Oman
 بهلروان, باكستان, Phularwan,Pakistan
 بهلغام, الهند,Pahalgam,India
 بهلوال, باكستان, Bhalwal,Pakistan
 بهوانه, باكستان, Bhawana,Pakistan
 بەردەڕەش, العراق, Bardarash,Iraq
 بو, فرنسا,Pau,France
 بو إسماعيل, الجزائر, Bou Ismail,Algeria
 بو انوار, موريتانيا, Boulenoir,Mauritania
 بو جنيبة, المغرب, Boujniba,Morocco
 بوأل, الصومال, Bu'aale,Somalia
 بوأل, الصومال, Bu'ale,Somalia
 بوا فيستا, البرازيل, Boa Vista,Brazil
 بواتييه, فرنسا,Poitiers,France
 بواكي, ساحل العاج, Bouaké,Cote d’Ivoire
 بوانت نوار, جمهورية الكونغو,Pointe-Noire,Congo
 بوانزي, موريتانيا, Bouanze,Mauritania
 بوبال, الهند, Bhopal,India
 بوبروف, روسيا, Bobrov,Russian Federation
 بوبه, بنين,Pobè,Benin
 بوبو ديولاسو, بوركينا فاسو,Bobo-Dioulasso,Burkina Faso
 بوتان, بوتان, Bhutan,Bhutan
 بوتراجاي, ماليزيا, Putrajaya,Malaysia
 بوتروب, ألمانيا,Bottrop,Germany
 بوتسدام, ألمانيا,Potsdam,Germany
 بوتسن, ألمانيا,Bautzen - Budyšin,Germany
 بوتسوانا, بتسوانا, Botswana,Botswana
 بوتشا, أوكرانيا, Bucha,Ukraine
 بوتشي, نيجيريا, Bauchi,Nigeria
 بوتشي, نيجيريا, Bauchi,Nigeria
 بوتشي, نيجيريا,Bauchi,Nigeria
 بوتلميت, موريتانيا, Boutilimit,Mauritania
 بوتليليس, الجزائر, Boutlelis,Algeria
 بوتنسا, ايطاليا,Potenza,Italy
 بوتيان, الصين, Putian,China
 بوتيسكوم, نيجيريا,Potiskum,Nigeria
 بوثلجة, الجزائر, Bouteldja,Algeria
 بوج, الهند, Bhuj,India
 بوجدور, المغرب, Boujdour,Morocco
 بوجليل, الجزائر, Boudjellil,Algeria
 بوجومبورا, بوروندي, Bujumbura,Burundi
 بوحجار, الجزائر, Bouhadjar,Algeria
 بوحمامة, الجزائر, Bouhmama,Algeria
 بوحمزة, الجزائر, Bouhamza,Algeria
 بوحنيفية, الجزائر, Bouhanifia,Algeria
 بوخارست, رومانيا, Bucharest,Romania
 بوخالف, المغرب, Boukhalef,Morocco
 بوخضرة, الجزائر, Boukhadra,Algeria
 بوخوم, ألمانيا,Bochum,Germany
 بودابست, المجر, Budapest,Hungary
 بوداماسا, تشاد,Boudamasa بوداماسا,Chad
 بودروم, تركيا,Bodrum,Turkey
 بودغوريتسا, الجبل الأسود, Podgorica,Montenegro
 بودواو, الجزائر, Boudouaou,Algeria
 بودوتشيري, الهند, Puducherry,India
 بودولسك, روسيا, Podolsk,Russian Federation
 بودونغ, الصين, Pudong,China
 بوذنيب, المغرب, Boudnib,Morocco
 بور, جنوب السودان, Bor,South Sudan
 بور غالب, مصر, Port Ghalib,Egypt
 بورام, السودان, Buram,Sudan
 بوراما, الصومال, Borama,Somalia
 بوربندر, الهند, Porbandar,India
 بورت أنجلوس, الولايات المتحدة,Port Angeles,United States of America
 بورت أو برنس, هايتي, Port-au-Prince,Haiti
 بورت إليزابيث, جنوب أفريقيا, Gqeberha,South Africa
 بورت بلير, الهند,Port Blair,India
 بورت جنتيل, الجابون, Port-Gentil,Gabon
 بورت فيلا, فانواتو, Port Vila,Vanuatu
 بورت لويس, موريشيوس, Port Louis,Mauritius
 بورت مورسبي, بابوا غينيا الجديدة, Port Moresby,Papua New Guinea
 بورت هاركورت, نيجيريا,Port Harcourt,Nigeria
 بورت هرون, الولايات المتحدة,Port Huron,United States of America
 بورتاليغري, البرتغال,Portalegre,Portugal
 بورتسودان, السودان, Port Sudan,Sudan
 بورتلاند, الولايات المتحدة, Portland,United States of America
 بورتو, البرتغال,Porto,Portugal
 بورتو أليغري, البرازيل, Porto Alegre,Brazil
 بورتو فاليو, البرازيل, Porto Velho,Brazil
 بورتو نوفو, بنين, Porto-Novo,Benin
 بورتو نوفو, الرأس الأخضر,Porto Novo,Cabo Verde
 بورتوبرنسس, الفيلبين, Puerto Princesa,Philippines
 بورتوريكو, الولايات المتحدة, Puerto Rico,United States of America
 بورتوريكو, كولومبيا,Puerto Rico,Colombia
 بورتيماو, البرتغال,Portimão,Portugal
 بورحكب, الصومال, Buurhakaba,Somalia
 بوردو, فرنسا,Bordeaux,France
 بوردور, تركيا,Burdur,Turkey
 بورسعيد, مصر, Port Said,Egypt
 بورصة, تركيا, Bursa,Turkey
 بورغ أون بريس, فرنسا,Bourg-en-Bresse,France
 بورغهاوزن, ألمانيا,Burghausen,Germany
 بورغو, بنين, Borgou,Benin
 بورفؤاد, مصر, Port Fuad,Egypt
 بوركو, تشاد, Borkou Region,Chad
 بوركينا فاسو, بوركينا فاسو, Burkina Faso,Burkina Faso
 بورنيا, الهند, Purnia,India
 بوروندي, بوروندي, Burundi,Burundi
 بوري, الهند, Puri,India
 بوريسوفكا, روسيا, Borisovka,Russian Federation
 بوريم, مالي,Bourem,Mali
 بورين, الولايات المتحدة,Burien,United States of America
 بوزروال, المغرب, Bouzeroual,Morocco
 بوزريعة, الجزائر, Bouzareah,Algeria
 بوزڤن, الجزائر, Bouzeguene,Algeria
 بوزنان, بولندا,Poznań,Poland
 بوزنيقة, المغرب, Bouznika,Morocco
 بوزي, السودان, Buzi,Sudan
 بوزي السيف, ايران, Buzi-ye Seyf,Iran 
 بوزين، فوكوكا, اليابان, Buzen,Japan
 بوزينة, الجزائر, Bouzina,Algeria
 بوساداس, الأرجنتين, Posadas,Argentina
 بوسالم, تونس, Busalim,Tunisia
 بوسطن, الولايات المتحدة, Boston,United States of America
 بوسعادة, الجزائر, Bou Saada,Algeria
 بوسكورة, المغرب, Bouskoura,Morocco
 بوسلتون, أستراليا, Busselton,Australia
 بوسو, النيجر, Bosso,Niger
 بوسو, تشاد, Bousso,Chad
 بوسين, مالي,Boussin,Mali
 بوشر, عمان, Bawshar,Oman
 بوشقرون, الجزائر, Bouchagroune,Algeria
 بوشقوف, الجزائر, Boucheghouf,Algeria
 بوشلو, ألمانيا,Buchloe,Germany
 بوشمة, تونس, Bouchamma,Tunisia
 بوشهر, ايران, Bushehr,Iran 
 بوصاصو, الصومال, Bosaso,Somalia
 بوصطيلة, موريتانيا, Bousteila,Mauritania
 بوط, السودان, But,Sudan
 بوعرفة, الجزائر, Bouarfa,Algeria
 بوعرفة, المغرب, Bouarfa,Morocco
 بوعنان, المغرب, Bouanane,Morocco
 بوعنداس, الجزائر, Bouandas,Algeria
 بوعينان, الجزائر, Bouinan,Algeria
 بوغاتيتش, صربيا, Bogatic,Serbia
 بوغاز كوي, تركيا,Boğazkale,Turkey
 بوغرا, بنجلاديش, Bogura,Bangladesh
 بوغرارة, تونس, Boughrara,Tunisia
 بوغني, الجزائر, Boghni,Algeria
 بوغوتا, كولومبيا, Bogota,Colombia
 بوغوروديتسك, روسيا, Bogoroditsk,Russian Federation
 بوغوني, مالي,Bougouni,Mali
 بوغي, موريتانيا, Bogué,Mauritania
 بوفاخرة, ليبيا, Bu Fakhirah,Libya
 بوفاريك, الجزائر, Boufarik,Algeria
 بوفاطيس, الجزائر, Boufatis,Algeria
 بوفالو, الولايات المتحدة, Buffalo,United States of America
 بوفكران, المغرب, Boufekrane,Morocco
 بوفيه, فرنسا,Beauvais,France
 بوڤزول, الجزائر, Boughezoul,Algeria
 بوقادير, الجزائر, Boukadir,Algeria
 بوقاعة, الجزائر, Bougaa,Algeria
 بوقرة, الجزائر, Bougara,Algeria
 بوقطب, الجزائر, Bougtob,Algeria
 بوقو, الكاميرون,Bogo,Cameroon
 بوقيراط, الجزائر, Bouguirat,Algeria
 بوكا راتون, الولايات المتحدة, Boca Raton,United States of America
 بوكادوم, موريتانيا, Bougadoum,Mauritania
 بوكانون, الجزائر, Boukanoun,Algeria
 بوكروف, روسيا, Pokrov,Russian Federation
 بوكورو, تشاد, Bokoro,Chad
 بوكيت ميرتاجام, ماليزيا,Bukit Mertajam,Malaysia
 بول, تشاد, Bol,Chad
 بولا, كرواتيا,Pula,Croatia
 بولادلي, تركيا, Polatlı,Turkey
 بولانك, تركيا,Bulanık,Turkey
 بولاهاوا, الصومال, Beled Hawo,Somalia
 بولاوايو, زيمبابوي,Bulawayo,Zimbabwe
 بولتافا أوبلاست, أوكرانيا, Poltava Oblast,Ukraine
 بولجان, منغوليا, Bulgan,Mongolia
 بولمان, المغرب, Boulemane,Morocco
 بولندا, بولندا, Poland,Poland
 بولندا الكبرى, بولندا, Greater Poland,Poland
 بولو, تركيا, Bolu,Turkey
 بولو بورتي, الصومال, Bulo Burto,Somalia
 بولوادین, تركيا,Bolvadin,Turkey
 بولوغين, الجزائر, Bologhine,Algeria
 بولون-بيانكور, فرنسا,Boulogne-Billancourt,France
 بولونيا, ايطاليا, Bologna,Italy
 بولونيزيا الفرنسية, فرنسا, French Polynesia,France
 بولي, موريتانيا, Boully,Mauritania
 بولي علم, أفغانستان, Pul-i-Alam,Afghanistan
 بوليا, ايطاليا, Puglia,Italy
 بوليس, قبرص, Polis,Cyprus
 بوليفيا, بوليفيا, Bolivia,Bolivia (Plurinational State of)
 بومالن دادس, المغرب, Boumalne Dadès,Morocco
 بومدفع, الجزائر, Boumedfaa,Algeria
 بومديد, موريتانيا, Boumdeid,Mauritania
 بومرداس, الجزائر, Boumerdes,Algeria
 بومريم, ليبيا, Bu Mariam,Libya
 بومقر, الجزائر, Boumagueur,Algeria
 بومهرة أحمد, الجزائر, Boumahra Ahmed,Algeria
 بومهل البساتين, تونس, Bou Mhel el-Bassatine,Tunisia
 بوموني, جزر القمر, Pomoni,Comoros
 بومية, المغرب, Boumia,Morocco
 بون, ألمانيا,Bonn,Germany
 بونا, تشاد,Bouna,Chad
 بونتا أومبريا, أسبانيا,Punta Umbría,Spain
 بونتا بورا, البرازيل,Ponta Porã,Brazil
 بونتا ديلغادا, البرتغال,Ponta Delgada,Portugal
 بونتي دي ليما, البرتغال,Ponte de Lima,Portugal
 بونتيفيدرا, أسبانيا,Pontevedra,Spain
 بوندا, الهند, Ponda,India
 بوندابيرج, أستراليا, Bundaberg,Australia
 بونسور, الهند, Bhubaneshwar,India
 بونش, الهند,Poonch,India
 بونغو-أونو، أويتا, اليابان, Bungo-Ono,Japan
 بونغوتاكادا، أويتا, اليابان, Bungo-Takada,Japan
 بونقور, تشاد, Bongor,Chad
 بونكيو، طوكيو, اليابان, Bunkyo,Japan
 بونه, الهند, Pune,India
 بونورة, الجزائر, Bounoura,Algeria
 بوني, باكستان, Booni,Pakistan
 بوهني, الجزائر, Bouhenni,Algeria
 بوهيكون, بنين,Bohicon,Benin
 بووهودل, اثيوبيا, Buhoodle,Ethiopia
 بووهودل, الصومال, Buhoodle,Somalia
 بويرتو جواسيو, الأرجنتين, Puerto Iguazú,Argentina
 بويرتو ديل روساريو, أسبانيا,Puerto del Rosario,Spain
 بويزكارن, المغرب, Bouizakarne,Morocco
 بويناكسك, روسيا, Buynaksk,Russian Federation
 بوينس آيرس, الأرجنتين, Buenos Aires,Argentina
 بويني, فرنسا,Bouéni,France
 بياتيغورسك, روسيا, Pyatigorsk,Russian Federation
 بيارتس, فرنسا,Biarritz,France
 بياس, تركيا,Payas,Turkey
 بياسة, أسبانيا,Baeza,Spain
 بياض, ليبيا, Madinat Bayad,Libya
 بياقوت, لبنان, Biaqout,Lebanon
 بيان, الكويت, Bayan,Kuwait
 بيباز, العراق, Pebaz,Iraq
 بيباي، هوكايدو, اليابان, Bibai,Japan
 بيبور, جنوب السودان, Pibor,South Sudan
 بيبوكمم, تشاد, Baïbokoum,Chad
 بيبيجيا, تشاد, Bebedjia,Chad
 بيت أمر, فلسطين, Beit Ummar, Palestinian
 بيت أولا, فلسطين, Beit Ula, Palestinian
 بيت السيد, اليمن, Bayt as Sayyid,Yemen
 بيت الشباب, تركيا,Beytüşşebap,Turkey
 بيت الفقيه, اليمن, Bayt al Faqih,Yemen
 بيت جالا, فلسطين, Beit Jala, Palestinian
 بيت حانون, فلسطين, Beit Hanoun, Palestinian
 بيت رأس, الأردن, Bayt Ras,Jordan
 بيت ساحور, فلسطين, Beit Sahur, Palestinian
 بيت سحم, سوريا, Beit Sahm,Syrian Arab Republic
 بيت عذاقة, اليمن, Bayt `Adhaqah,Yemen
 بيت عوا, فلسطين, Beit Awwa, Palestinian
 بيت فجار, فلسطين, Beit Fajjar, Palestinian
 بيت فوريك, فلسطين, Beit Furik, Palestinian
 بيت لاهيا, فلسطين, Beit Lahiya, Palestinian
 بيت لحم, فلسطين, Bethlehem, Palestinian
 بيت لقيا, فلسطين, Beit Liqya, Palestinian
 بيت ليف, لبنان, Bayt Lif,Lebanon
 بيت مري, لبنان, Beit Mery,Lebanon
 بيتا, فلسطين, Beita, Palestinian
 بيتا, غينيا,Pita,Guinea
 بيتار عيليت, فلسطين, Beitar Ilit, Palestinian
 بيتالينغ جايا, ماليزيا,Petaling Jaya,Malaysia
 بيتربرة, المملكة المتحدة, Peterborough,UK
 بيتروبافلوفسك-كامتشاتسكي, روسيا, Petropavlovsk-Kamchatsky,Russian Federation
 بيتروف فال, روسيا, Petrov Val,Russian Federation
 بيتوشكي, روسيا, Petushki,Russian Federation
 بيتونيا, فلسطين, Bitunia, Palestinian
 بيتوه, تشاد, Bitoye,Chad
 بيتيرهوف, روسيا, Peterhof,Russian Federation
 بيتيشت, رومانيا, Pitești,Romania
 بيثالتو, الولايات المتحدة, Bethalto,United States of America
 بيجاي, الصين, Bijie,China
 بيجوندو, تشاد, Bedjondo,Chad
 بيجي, العراق, Baiji,Iraq
 بيحان العليا, اليمن, Bayhan,Yemen
 بيخا,كوسوفو, Pejë,Kosovo
 بيخار, أسبانيا,Béjar,Spain
 بيدار, الهند, Bidar,India
 بيدارك, باكستان, Pidarak,Pakistan
 بيداكش, باكستان, Pidakkesh,Pakistan
 بيدغوز, بولندا,Bydgoszcz,Poland
 بيدوا, الصومال, Baidoa,Somalia
 بير محل, باكستان, Pir Mahal,Pakistan
 بيراتنغر, نيبال, Biratnagar,Nepal
 بيران, العراق, Piran,Iraq
 بيرانشهر, ايران, Piranshahr,Iran 
 بيربكران, ايران, Pir Bakran,Iran 
 بيربينيا, فرنسا,Perpignan,France
 بيرث, أستراليا, Perth,Australia
 بيرجند, ايران, Birjand,Iran 
 بيردسك, روسيا, Berdsk,Russian Federation
 بيرسلافل-زالسكي, روسيا, Pereslavl-Zalessky,Russian Federation
 بيرشتوناس, ليتوانيا,Birštonas,Lithuania
 بيرفورالسك, روسيا, Pervouralsk,Russian Federation
 بيرك، باد كاليه, فرنسا,Berck,France
 بيرم, روسيا, Perm,Russian Federation
 بيرمبافور, الهند,Perumbavoor,India
